sx,sy,ex,ey
0,21,475,720
475,209,581,595
449,579,674,720
580,451,652,574
583,353,620,461
620,404,643,453
581,284,609,350
475,117,530,206
530,156,556,215
476,66,502,114
498,89,520,118
948,644,1280,720
977,620,1280,660
1179,533,1280,635
1119,578,1214,629
1145,547,1201,575
1198,513,1280,531
1008,592,1118,620
673,658,703,720
697,686,734,720
903,670,952,720
739,707,900,720
853,0,1280,159
796,154,1225,205
864,201,1045,325
1040,208,1115,286
822,205,880,271
1097,197,1173,248
1102,240,1142,266
897,322,979,352
801,119,876,160
