sx,sy,ex,ey
941,0,1280,720
784,140,944,720
845,78,941,143
894,37,941,80
813,109,851,149
660,315,788,720
713,227,791,314
679,272,716,314
744,183,796,239
632,384,669,720
0,626,641,720
581,555,634,627
609,456,630,565
0,479,93,628
96,563,327,632
327,598,403,627
433,609,582,638
556,588,582,609
321,582,351,600
91,516,153,566
152,526,269,574
270,540,295,565
91,497,116,518
0,0,434,229
133,231,455,292
200,294,430,325
279,329,382,354
80,231,135,273
41,230,79,249
419,196,481,239
435,0,492,61
424,62,452,86
495,29,509,54
